name,rating,reviews,industry,location
Mahindra Finance,3.9,(5.7k),NBFC,Mumbai +740 other locations
Bosch Global Software Technologies,3.7,(5.7k),IT Services & Consulting,Bengaluru +47 other locations
Swiggy,3.7,(5.7k),Internet,Bengaluru +238 other locations
Citicorp,3.6,(5.6k),Financial Services,Pune +68 other locations
Ashok Leyland,4.0,(5.6k),Automobile,Chennai +265 other locations
Hero MotoCorp,4.1,(5.5k),Automobile,Gurugram +373 other locations
CGI Inc,4.0,(5.5k),IT Services & Consulting,Bengaluru +43 other locations
Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,(5.3k),Financial Services,Gurugram +448 other locations
BNY,3.6,(5.3k),Financial Services,Pune +28 other locations
Kalpataru Projects International,4.2,(5.3k),Engineering & Construction,Mumbai +328 other locations
NTT DATA,3.8,(5.3k),IT Services & Consulting,Bengaluru +81 other locations
IQVIA,3.7,(5.3k),Clinical Research,Bengaluru +67 other locations
Nagarjuna Construction Company,4.0,(5.3k),Engineering & Construction,Hyderabad +300 other locations
Schneider Electric,4.1,(5.2k),Industrial Automation,Bengaluru +121 other locations
JustDial,3.5,(5.2k),Internet,Noida +237 other locations
SBI Life Insurance Company,3.7,(5.2k),Insurance,Mumbai +657 other locations
CBRE,4.1,(5.2k),Real Estate,Hyderabad +92 other locations
TVS Motor,3.8,(5.1k),Automobile,Hosur +354 other locations
Persistent Systems,3.6,(5.1k),IT Services & Consulting,Pune +42 other locations
State Bank of India,3.8,(5k),Banking,Mumbai +630 other locations
KEC International,4.0,(5k),Engineering & Construction,Mumbai +318 other locations
Atos,3.8,(5k),IT Services & Consulting,Pune +50 other locations
ITC Infotech,3.8,(4.9k),IT Services & Consulting,Bengaluru +69 other locations
vivo,4.0,(4.9k),Consumer Electronics & Appliances,Noida +415 other locations
Amdocs,3.6,(4.9k),Software Product,Pune +24 other locations
JBM Group,3.9,(4.9k),Auto Components,Gurugram +119 other locations
Varun Beverages,4.0,(4.9k),Beverage,New Delhi +384 other locations
Ecom Express,4.1,(4.8k),Logistics,Gurugram +780 other locations
Utkarsh Small Finance Bank,3.6,(4.8k),Banking,Varanasi +423 other locations
Nagarro,3.9,(4.8k),IT Services & Consulting,Gurugram +48 other locations
Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations
Randstad,3.7,(4.7k),Recruitment,Hyderabad +370 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.7k),IT Services & Consulting,Bengaluru +57 other locations
Bosch,4.1,(4.7k),Auto Components,Bengaluru +133 other locations
